ride_type,use_case,dist_bucket,prod_markup,treat_markup,markup_%delta,markup_airport_equivalent (%delta),prod_pt,treat_pt,pt_airport_equivalent (%delta)
standard,other,d3,1.2762,1.2762,0.0,DNE,2359.4687,2359.4687,DNE
standard,other,d4,1.213,1.213,0.0,DNE,3260.402,3260.402,DNE
standard,other,d5,1.1903,1.1903,0.0,DNE,6003.3269,6003.3269,DNE
standard,party time,d1,1.4278,1.4278,0.0,DNE,1159.697,1159.697,DNE
standard,party time,d2,1.3831,1.3831,0.0,DNE,1748.2928,1748.2928,DNE
standard,party time,d3,1.2793,1.2793,0.0,DNE,2443.1831,2443.1831,DNE
standard,party time,d4,1.1795,1.1795,0.0,DNE,3252.2703,3252.2703,DNE
standard,party time,d5,1.1423,1.1423,0.0,DNE,5595.3104,5595.3104,DNE
standard_saver,airport,d1,1.1331,DNE,DNE,DNE,1033.1461,DNE,DNE
standard_saver,airport,d2,1.1177,DNE,DNE,DNE,1261.5884,DNE,DNE
standard_saver,airport,d3,1.1722,DNE,DNE,DNE,1806.9823,DNE,DNE
standard_saver,airport,d4,1.1986,DNE,DNE,DNE,3370.0584,DNE,DNE
standard_saver,airport,d5,1.1875,DNE,DNE,DNE,6367.5384,DNE,DNE
standard_saver,airport_drop_off,d1,DNE,1.0682,DNE,1.1331 (-5.7276%),DNE,2572.0983,1033.1461 (148.9578%)
standard_saver,airport_drop_off,d2,DNE,1.0859,DNE,1.1177 (-2.8451%),DNE,4277.7141,1261.5884 (239.0737%)
standard_saver,airport_drop_off,d3,DNE,1.1644,DNE,1.1722 (-0.6654%),DNE,5649.0167,1806.9823 (212.6216%)
standard_saver,airport_drop_off,d4,DNE,1.2024,DNE,1.1986 (0.317%),DNE,7498.3498,3370.0584 (122.4991%)
standard_saver,airport_drop_off,d5,DNE,1.2445,DNE,1.1875 (4.8%),DNE,8468.6511,6367.5384 (32.9973%)
standard_saver,airport_pick_up,d1,DNE,1.1334,DNE,1.1331 (0.0265%),DNE,2435.4514,1033.1461 (135.7316%)
standard_saver,airport_pick_up,d2,DNE,1.0868,DNE,1.1177 (-2.7646%),DNE,4063.5824,1261.5884 (222.1005%)
standard_saver,airport_pick_up,d3,DNE,1.1448,DNE,1.1722 (-2.3375%),DNE,4928.8113,1806.9823 (172.7648%)
standard_saver,airport_pick_up,d4,DNE,1.2146,DNE,1.1986 (1.3349%),DNE,6197.9055,3370.0584 (83.9109%)
standard_saver,airport_pick_up,d5,DNE,1.212,DNE,1.1875 (2.0632%),DNE,9530.5942,6367.5384 (49.6747%)
standard_saver,commute,d1,1.1981,1.1981,0.0,DNE,1001.4928,1001.4928,DNE
standard_saver,commute,d2,1.1425,1.1425,0.0,DNE,1524.0403,1524.0403,DNE
standard_saver,commute,d3,1.0994,1.0994,0.0,DNE,2188.6003,2188.6003,DNE
standard_saver,commute,d4,1.1387,1.1387,0.0,DNE,3267.0912,3267.0912,DNE
standard_saver,commute,d5,1.0978,1.0978,0.0,DNE,5807.7512,5807.7512,DNE
standard_saver,other,d1,1.221,1.221,0.0,DNE,991.4189,991.4189,DNE
standard_saver,other,d2,1.1968,1.1968,0.0,DNE,1515.0595,1515.0595,DNE
standard_saver,other,d3,1.1506,1.1506,0.0,DNE,2170.6197,2170.6197,DNE
standard_saver,other,d4,1.1366,1.1366,0.0,DNE,3096.9071,3096.9071,DNE
standard_saver,other,d5,1.1134,1.1134,0.0,DNE,5702.5494,5702.5494,DNE
standard_saver,party time,d1,1.2152,1.2152,0.0,DNE,1020.5126,1020.5126,DNE
standard_saver,party time,d2,1.1827,1.1827,0.0,DNE,1538.5089,1538.5089,DNE
standard_saver,party time,d3,1.152,1.152,0.0,DNE,2247.6388,2247.6388,DNE
standard_saver,party time,d4,1.1046,1.1046,0.0,DNE,3089.7476,3089.7476,DNE
standard_saver,party time,d5,1.0686,1.0686,0.0,DNE,5315.1021,5315.1021,DNE
